timestamp,cpu_percent
1718192573.5809295,"[7.8, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192574.592927,"[1.5, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192575.6006587,"[3.1, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192576.606658,"[4.6, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192577.613824,"[3.1, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0]"
1718192578.6178238,"[15.2, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0]"
1718192579.6289353,"[7.6, 1.5, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192580.6389349,"[6.1, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192581.6533399,"[6.2, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192582.661339,"[1.6, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192583.670886,"[7.7, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192584.6818845,"[1.6, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192585.6872497,"[4.6, 1.5, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192586.7012491,"[3.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192587.7143211,"[10.9, 0.0, 0.0, 70.8, 29.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192588.7193203,"[12.1, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192589.7309415,"[12.3, 0.0, 6.2, 0.0, 100.0, 3.1, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0]"
1718192590.7370539,"[31.2, 4.7, 3.1, 0.0, 100.0, 6.2, 1.6, 1.6, 0.0, 1.6, 1.6, 0.0]"
1718192591.741057,"[19.7, 1.6, 0.0, 0.0, 100.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192592.755976,"[30.3, 4.6, 6.2, 7.6, 100.0, 6.2, 4.5, 7.6, 3.1, 6.1, 4.6, 6.1]"
1718192593.7599752,"[16.7, 1.6, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192594.7693615,"[7.7, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192595.7733624,"[3.1, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192596.7829819,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
